World Rank,University Name,Country,National Rank,Total Score
368,University of DuisburgEssen,DE,20-24,
369,University of Florence,IT,9-10,
370,University of Hawaii at Manoa,US,83-99,
371,University of Houston,US,83-99,
372,University of Illinois at Chicago,US,83-99,
373,University of Innsbruck,AT,3-4,
374,University of Kansas,US,83-99,
375,University of Kentucky,US,83-99,
376,University of Leicester,GB,26-33,
377,University of Liege,BE,6-7,
378,University of Lille,FR,13-16,
379,University of Macau,MO,1,
380,University of Maryland Baltimore,US,83-99,
381,University of Miami,US,83-99,
382,University of MilanoBicocca,IT,9-10,
383,University of Saskatchewan,CA,12-17,
384,University of South Florida,US,83-99,
385,University of Southern Denmark,DK,4-5,
386,University of St Andrews,GB,26-33,
387,University of Stuttgart,DE,20-24,
388,University of Surrey,GB,26-33,
389,University of the Witwatersrand,ZA,2,
390,Toulouse  Capitole University,FR,13-16,
391,University of Turku,FI,2-3,
392,University of Valencia,ES,3-7,
393,University of Victoria,CA,12-17,
394,University of York,GB,26-33,
395,Vienna University of Technology,AT,3-4,
396,Vrije Universiteit Brussel VUB,BE,6-7,
397,Western Sydney University,AU,16-22,
398,Western University,CA,12-17,
399,Yangzhou University,CN,51-68,
400,Zhejiang University of Technology,CN,51-68,
401,Albert Einstein College of Medicine,US,100-117,
402,BarIlan University,IL,5,
403,Chalmers University of Technology,SE,9,
404,China University of Mining and Technology  Xuzhou,CN,69-88,
405,China University of Petroleum Huadong,CN,69-88,
406,CUNY Graduate School and University Center,US,100-117,
407,Drexel University,US,100-117,
408,Eindhoven University of Technology,NL,11-12,
409,Federal University of Minas Gerais,BR,3-5,
410,Georgetown University,US,100-117,
411,Guangzhou Medical University,CN,69-88,
412,Guangzhou University,CN,69-88,
413,Hainan University,CN,69-88,
414,Hannover Medical School,DE,25-31,
415,Henan University,CN,69-88,
416,Hiroshima University,JP,12,
417,Hohai University,CN,69-88,
418,Humanitas University,IT,11-17,
419,Iowa State University,US,100-117,
420,Istanbul University,TR,1,
421,Jagiellonian University,PL,1-2,
422,King Fahd University of Petroleum  Minerals,SA,6-7,
423,King Khalid University,SA,6-7,
424,Kunming University of Science and Technology,CN,69-88,
425,Kyung Hee University,KR,9-12,
426,Kyungpook National University,KR,9-12,
427,Louisiana State University  Baton Rouge,US,100-117,
428,Macau University of Science and Technology,MO,2,
429,Masaryk University,CZ,2,
430,Murdoch University,AU,23-24,
